nombre,estado,latitud,longitud,pob_total,pob_masculina,pob_femenina
El Campizal,Coahuila de Zaragoza,26.642988,-102.521901,18,10.0,8.0
El Cinco (Mariano Matamoros),Coahuila de Zaragoza,25.491661,-103.180532,1,,
San Pablo de la Salada,Coahuila de Zaragoza,28.198651,-101.439808,2,,
El Marqués de A. (Santa Elena del Marqués),Coahuila de Zaragoza,27.156915,-101.817003,1,,
El Sacramento (Sacramento de la Jarosa),Coahuila de Zaragoza,25.731755,-102.150839,105,54.0,51.0
Los Cobas,Coahuila de Zaragoza,27.037178,-101.567707,1,,
El Molino,Coahuila de Zaragoza,28.495706,-100.941007,4,,
Palmas Altas,Coahuila de Zaragoza,25.122201,-101.428202,55,28.0,27.0
Francisco Pérez Escalante,Coahuila de Zaragoza,29.269204,-100.8797,4,,
Los Abuelos,Coahuila de Zaragoza,25.75349,-103.268579,2,,
Unión del Barreal,Coahuila de Zaragoza,25.426623,-103.159982,352,183.0,169.0
Esteban Sergio Rodríguez Lira,Coahuila de Zaragoza,25.772474,-103.116575,1,,
El Colorado,Coahuila de Zaragoza,28.688956,-101.204525,2,,
La Salada (Fracción Uno),Coahuila de Zaragoza,28.220802,-101.363071,2,,
San Juan Viejo,Coahuila de Zaragoza,27.944339,-101.328647,3,,
San José de la Palma,Coahuila de Zaragoza,27.922006,-101.786147,1,,
El Águila,Coahuila de Zaragoza,25.922662,-101.143183,14,6.0,8.0
Abundio Nieto,Coahuila de Zaragoza,27.909502,-101.359204,1,,
Segundo Santa Anita,Coahuila de Zaragoza,25.77645,-102.947311,7,,
Los Pioneros,Coahuila de Zaragoza,25.480114,-100.869303,3,,
Los Barrancos,Coahuila de Zaragoza,29.174889,-101.362658,1,,
Arturo Garza Canales,Coahuila de Zaragoza,27.871372,-101.477325,4,,
San Judas Tadeo,Coahuila de Zaragoza,24.908961,-101.054303,1,,
Alejandro Balderas Llanas,Coahuila de Zaragoza,25.791999,-103.184268,1,,
San Pedro,Coahuila de Zaragoza,29.179639,-101.675212,3,,
San Francisco del Barrial,Coahuila de Zaragoza,25.185882,-102.137386,141,86.0,55.0
La Parada de Santa Ana del Pilar,Coahuila de Zaragoza,25.706403,-103.328575,8,5.0,3.0
San Antonio (El Veinticuatro),Coahuila de Zaragoza,28.605694,-100.933311,4,,
La Morita,Coahuila de Zaragoza,24.818503,-101.593234,53,34.0,19.0
Los Cedros,Coahuila de Zaragoza,25.518718,-100.989786,68,49.0,19.0
Rubén Chávez Santana,Coahuila de Zaragoza,25.420022,-102.082061,1,,
Domingo Torres,Coahuila de Zaragoza,29.304294,-100.975425,6,,
La Vega de los Gatos,Coahuila de Zaragoza,25.761933,-103.048144,6,,
Reyes Gaspar,Coahuila de Zaragoza,28.974403,-100.787411,1,,
Sofía Sosa Rosas (Plan de Guadalupe),Coahuila de Zaragoza,26.212183,-101.350342,2,,
La Luz,Coahuila de Zaragoza,25.725727,-103.244867,2368,1175.0,1193.0
Las Burras,Coahuila de Zaragoza,28.218194,-103.202006,6,4.0,2.0
El Nopal,Coahuila de Zaragoza,29.467971,-101.748275,1,,
Santos Loera Santillán,Coahuila de Zaragoza,29.044365,-100.876632,2,,
San Isidro,Coahuila de Zaragoza,28.130143,-100.583469,2,,
El Vampiro,Coahuila de Zaragoza,27.035833,-101.563916,8,5.0,3.0
La Encantada,Coahuila de Zaragoza,25.288926,-101.084674,310,159.0,151.0
San Rafael de Arriba,Coahuila de Zaragoza,25.880058,-103.133824,1577,794.0,783.0
El Gatuño,Coahuila de Zaragoza,25.744516,-103.176063,305,161.0,144.0
El Palmo,Coahuila de Zaragoza,28.4541,-103.631078,5,,
San Lorenzo,Coahuila de Zaragoza,27.310022,-101.696959,90,45.0,45.0
Estrellita del Norte (Santa María),Coahuila de Zaragoza,25.705253,-103.045313,1,,
Juan Castro Guzmán,Coahuila de Zaragoza,29.087808,-101.466822,1,,
Río Escondido (Ceferino González),Coahuila de Zaragoza,28.494474,-100.895064,1,,
Eduardo García Covarrubias,Coahuila de Zaragoza,25.392217,-100.931483,2,,
La Zorra Uno,Coahuila de Zaragoza,25.5821,-100.962176,1,,
El Tres,Coahuila de Zaragoza,28.333883,-100.839728,5,,
La Media Luna,Coahuila de Zaragoza,28.999819,-102.654804,1,,
Valle Alto,Coahuila de Zaragoza,25.313992,-100.702164,6,4.0,2.0
El Travieso,Coahuila de Zaragoza,28.588129,-100.45484,4,,
El Palmito,Coahuila de Zaragoza,28.271,-101.008264,2,,
Manuel Argumedo Zavala,Coahuila de Zaragoza,29.265858,-100.939175,2,,
Los Dávila,Coahuila de Zaragoza,28.748018,-100.536543,2,,
El Rayo,Coahuila de Zaragoza,24.826611,-101.549461,2,,
San Manuel Sociedad,Coahuila de Zaragoza,25.404199,-103.145022,1,,
Las Delicias,Coahuila de Zaragoza,27.668571,-101.297299,1,,
Josefinas (Rodolfo Cruz),Coahuila de Zaragoza,28.662873,-100.526668,4,,
Fermín,Coahuila de Zaragoza,25.367909,-101.330151,64,38.0,26.0
Fraccionamiento Residencial Rancho Alegre,Coahuila de Zaragoza,25.502669,-103.323153,1052,539.0,513.0
La Esperanza (Las Puyas),Coahuila de Zaragoza,24.905297,-100.83604,54,33.0,21.0
San Pedro,Coahuila de Zaragoza,28.100072,-101.13639,4,,
Quince de Mayo (Las Magdalenas),Coahuila de Zaragoza,25.423434,-103.342267,10,8.0,2.0
Las Margaritas,Coahuila de Zaragoza,25.795519,-102.974991,1,,
La Rinconada,Coahuila de Zaragoza,26.586768,-101.397289,1,,
Cuatro Hermanos (El Sol),Coahuila de Zaragoza,25.621105,-102.622484,31,16.0,15.0
La Chuparrosa,Coahuila de Zaragoza,29.474929,-101.237782,1,,
Francisco Hernández,Coahuila de Zaragoza,28.749747,-100.586867,7,,
La Victoria,Coahuila de Zaragoza,28.413067,-100.852131,5,,
San Andrés (Chupadero),Coahuila de Zaragoza,25.391533,-100.675146,3,,
El Cántabro,Coahuila de Zaragoza,25.927961,-103.201353,513,262.0,251.0
María Jaramillo López,Coahuila de Zaragoza,29.255231,-100.930556,2,,
El Nogal,Coahuila de Zaragoza,27.176855,-101.422775,2,,
El Jaralito,Coahuila de Zaragoza,25.33828,-101.440392,119,63.0,56.0
Nuevo Poblado de Nadadores (El Huizachal),Coahuila de Zaragoza,27.078166,-101.710138,163,88.0,75.0
Mesa de las Tablas,Coahuila de Zaragoza,25.247467,-100.406566,184,82.0,102.0
Frontera,Coahuila de Zaragoza,25.695518,-102.941662,571,276.0,295.0
Juan Pablo Cisneros Sena,Coahuila de Zaragoza,25.205067,-101.443856,2,,
Vitali,Coahuila de Zaragoza,27.113963,-101.280173,2,,
El Parreño,Coahuila de Zaragoza,25.562602,-103.226804,5,,
La Misión,Coahuila de Zaragoza,27.852624,-101.554751,3,3.0,0.0
Eliseo Mendoza Berrueto,Coahuila de Zaragoza,26.828514,-101.916608,7,,
Roberto Frías,Coahuila de Zaragoza,28.124401,-100.951448,3,,
La Alcanforada (La Mora),Coahuila de Zaragoza,27.844765,-103.724053,5,,
La Escondida (Juan Alvarado),Coahuila de Zaragoza,26.792542,-101.491516,2,,
Las Bacinicas,Coahuila de Zaragoza,28.3473,-101.011842,2,,
Santa Rosa,Coahuila de Zaragoza,29.032353,-100.674831,222,116.0,106.0
Narigua,Coahuila de Zaragoza,25.448864,-101.579316,31,20.0,11.0
La Central,Colima,19.141667,-104.4375,1544,789.0,755.0
El Cerrito,Colima,19.031667,-104.249444,5,,
San Eduardo,Colima,18.857538,-103.837619,5,,
Las Parotas,Colima,18.807251,-103.829072,6,,
Rancho de Pedro George,Colima,19.190808,-103.818484,3,,
La Lucecita,Colima,19.179274,-103.741777,2,,
El Paseo de Soledad,Colima,19.266111,-103.783056,1,,
El Arrayanal,Colima,19.276667,-104.106944,90,50.0,40.0
La Playa [Antonio Díaz],Colima,19.163191,-103.864938,1,,
Piscila,Colima,19.159249,-103.701317,1307,679.0,628.0
El Paraíso,Colima,19.133889,-103.630278,3,,
La Calera,Colima,19.103939,-103.775195,1,,
La Ceiba,Colima,19.415811,-103.698758,1,,
Huerto Mamalupe,Colima,19.407542,-103.723018,3,,
Pintores,Colima,19.377784,-103.703468,50,26.0,24.0
El Tecuán,Colima,19.01511,-103.931134,2,,
El Jazmín,Colima,18.862344,-103.888565,5,,
Saint Francis,Colima,19.316667,-103.7675,4,,
Los Gallos,Colima,19.175942,-103.857857,5,,
El Mangal,Colima,18.849057,-103.851119,6,,
La Palmita,Colima,19.349514,-103.653725,2,,
Loma de Fátima,Colima,19.187035,-103.750831,98,55.0,43.0
Rancho Escondido,Colima,18.987614,-103.920045,2,,
El Charro Uno,Colima,19.205469,-103.821936,4,,
La Piedra Rajada,Colima,19.408256,-103.739164,4,,
Las Cuatas [Rafael Lozoya],Colima,19.041111,-104.239722,3,,
Hacienda el Refugio,Colima,19.169379,-104.499749,6,,
La Mojonera,Colima,19.237238,-103.786288,1,,
Rancho Escondido [María Sandoval de la Cruz],Colima,19.359767,-104.099928,1,,
El Chico,Colima,19.161879,-103.881486,5,,
San José,Colima,18.990081,-103.836967,2,,
Kilómetro Tres Punto Cinco,Colima,19.347983,-103.738328,1,,
La Arena [José Luis Suárez],Colima,19.047374,-104.229241,5,,
La Esperanza,Colima,18.932009,-103.91059,2,,
El Naranjito,Colima,19.372398,-103.704499,7,,
La Fortunata [Juan Madrigal],Colima,18.904722,-103.899444,2,,
Paso del Norte,Colima,19.142036,-104.342672,7,,
Boca de Apiza [Granja Acuícola],Colima,18.705234,-103.748256,2,,
El Amial,Colima,18.8925,-103.920833,5,,
El Garcero,Colima,19.055833,-104.230556,804,394.0,410.0
La Candelaria,Colima,18.829722,-103.791389,1,,
Rancho Socorro,Colima,18.909533,-104.015545,2,,
El Pozo,Colima,18.914419,-103.995741,4,,
Las Anonas,Colima,19.008219,-103.6375,2,,
Rancho Magaña,Colima,19.105647,-104.279297,1,,
Valleverde,Colima,18.942104,-104.024141,3,,
Los Corales [León Velasco],Colima,19.028987,-104.209996,5,,
Loma Alta,Colima,19.371868,-103.718269,3,,
El Bordo Viejo,Colima,19.208292,-103.541778,11,7.0,4.0
Zacualpan,Colima,19.363486,-103.824048,1971,959.0,1012.0
El Rebalse,Colima,19.173611,-104.662778,33,19.0,14.0
Germán Gómez,Colima,18.977226,-103.905918,2,,
La Chirimoya,Colima,19.394709,-103.667442,6,,
San José,Colima,18.781358,-103.783521,2,,
La Parotita (Ejido Fernández),Colima,19.2925,-103.5375,8,6.0,2.0
La Palma,Colima,19.289722,-103.631667,2,,
Cofradía de Suchitlán,Colima,19.410278,-103.7025,1800,898.0,902.0
Valle Viejo,Colima,18.761409,-103.730506,6,,
El Coco,Colima,18.819028,-103.881956,1,,
Agua de la Virgen,Colima,18.938889,-103.627778,140,73.0,67.0
El Higueral,Colima,19.207222,-103.732778,5,,
El Refugio,Colima,19.433098,-103.704756,9,,
El Presidio,Colima,18.903684,-103.916787,1,,
José Luis Venegas,Colima,19.224514,-103.640944,1,,
De Ahumada,Colima,19.325674,-103.683656,5,,
La Palmita,Colima,19.399033,-104.045955,4,,
La Lima,Colima,19.40523,-103.671586,58,26.0,32.0
El Huizachal [Juvenal Pérez],Colima,19.157622,-104.353292,3,,
Quesería,Colima,19.386947,-103.573679,9931,4998.0,4933.0
El Quiroz,Colima,19.2175,-103.736944,1,,
San Gerardo,Colima,18.819674,-103.894192,1,,
Las Cuatas,Colima,19.041235,-104.231996,3,,
San Antonio,Colima,18.948333,-103.885833,2,,
El Carrizal,Colima,19.370364,-103.682762,41,26.0,15.0
Chavarín,Colima,18.988676,-103.962431,5,,
Residencial Campestre los Mezcales,Colima,19.336667,-103.773056,12,8.0,4.0
La Cañita,Colima,18.999538,-103.930456,3,3.0,0.0
La Bonita,Colima,19.133181,-103.752698,5,,
El Jarano,Colima,18.876004,-103.874256,1,,
San Juan,Colima,18.989822,-103.983998,1,,
El Paraíso,Colima,18.890278,-103.895833,1,,
El Álamo,Colima,18.891944,-103.9,6,,
Los Primos,Colima,19.174898,-103.858695,3,,
El Cóbano,Colima,18.966442,-103.982294,5,,
El Encino,Colima,19.145763,-104.118182,3,,
Santa Elena,Colima,18.859818,-103.930455,8,,
La Viga,Colima,19.156048,-104.46363,6,,
Palos de Agua,Colima,18.965189,-103.856849,3,,
Don Helio,Colima,19.426333,-103.694902,1,,
Los Dos Tesoros,Colima,18.892222,-103.833056,3,,
El Olivar,Colima,19.424879,-103.693251,4,,
El Mezcal [Granja de Pescado],Colima,19.151122,-103.872154,1,,
El Higueral,Colima,19.210119,-103.733439,5,,
Tinajas,Colima,19.041389,-103.584722,254,129.0,125.0
Brezo [Vivero],Colima,18.90583,-103.966328,6,,
Buenrostro,Colima,18.872847,-103.802499,14,,
La Parota,Colima,19.2025,-103.759722,4,,
Heriberto Medina,Colima,19.421936,-103.695117,4,,
La Palmita Grande,Colima,19.302222,-103.854444,1,,
Los Jazmines,Colima,19.031323,-104.077232,1,,
Los Braceros,Durango,24.937907,-106.755019,8,5.0,3.0
El Ranchito,Durango,23.937934,-104.53842,2,,
El Soto [Rancho],Durango,24.11684,-104.700137,3,,
Ignacio Zaragoza (San Pablo),Durango,24.911881,-104.217166,488,269.0,219.0
El Papalote,Durango,25.6014,-104.631938,2,,
El Salto (El Alamito),Durango,25.727471,-103.68761,3,,
Rancho la Víbora,Durango,24.257036,-105.084576,2,,
Mimbres,Durango,24.886759,-105.653829,2,,
Carlos Herrera [Colonia],Durango,24.088262,-104.646894,3,,
El Vainillo,Durango,23.386592,-105.583703,26,16.0,10.0
Tres Hermanos,Durango,25.464497,-104.647222,1,,
El Salto,Durango,24.972535,-106.937269,14,8.0,6.0
Metates,Durango,25.020278,-106.318728,29,18.0,11.0
El Coyote,Durango,26.104609,-106.325593,4,,
Majada los Tebos,Durango,24.282724,-103.873217,2,,
Acatita Grande (Acatita),Durango,24.99568,-107.04657,4,,
Quinta el Capricho,Durango,25.681239,-103.42949,3,,
El Campamento,Durango,25.768947,-105.798094,3,,
Horacio Ruiz,Durango,24.172971,-104.563406,1,,
La Ferrería (Cuatro de Octubre),Durango,23.960431,-104.661049,2422,1172.0,1250.0
Los Pascuales,Durango,25.184986,-105.547573,113,54.0,59.0
El Partidor,Durango,23.929851,-104.260122,70,40.0,30.0
La Mesita,Durango,22.792477,-104.801206,12,,
José del Rosario (Rancho de los Rocha),Durango,24.765409,-104.539575,9,,
Establo la Montaña,Durango,25.263565,-103.512171,1,,
Centro de Acopio (Granja Blanca),Durango,25.699851,-103.539209,4,,
Los Mangos,Durango,25.154567,-106.777084,26,14.0,12.0
El Carrizo de la Petaca,Durango,24.67853,-106.316846,157,80.0,77.0
El Ya Verás,Durango,26.551215,-105.772139,8,,
El Salitre,Durango,23.429581,-104.41483,26,11.0,15.0
La Gloria (La Jarita),Durango,25.815626,-104.974182,1,,
Las Cebollas,Durango,25.397182,-106.153063,5,,
La Adelita,Durango,24.07567,-104.566379,6,,
El Soldado [Gasolinera],Durango,23.929337,-104.921568,7,,
Medina,Durango,24.562313,-104.632702,362,192.0,170.0
Joyas de Guamúchil,Durango,23.210848,-104.529036,31,14.0,17.0
El Moro (Petra Luna),Durango,25.492913,-103.679259,1,,
Chacoal,Durango,25.044427,-106.948102,15,10.0,5.0
Once de Marzo (Trincheras),Durango,24.910352,-104.811155,167,81.0,86.0
Pinos Enterrados,Durango,23.07661,-104.718093,63,33.0,30.0
La Joyita,Durango,25.679556,-106.373545,4,,
El Guayabal,Durango,25.138629,-106.731092,1,,
San Atenógenes (La Villita),Durango,23.989914,-104.014186,2025,998.0,1027.0
Sauz de Abajo,Durango,24.705253,-104.468431,369,181.0,188.0
Rancho Pinabete (El Salitral),Durango,25.524272,-103.579945,4,,
Linares del Río,Durango,25.082086,-104.504856,351,175.0,176.0
San Juan del Arenal,Durango,24.008969,-104.80475,5,,
San José de la Laguna,Durango,24.740278,-106.173837,228,114.0,114.0
El Encinal,Durango,25.061277,-106.529944,14,7.0,7.0
Jardín de Flores,Durango,24.912651,-105.027552,309,157.0,152.0
Los Duraznos,Durango,22.990529,-104.449531,95,44.0,51.0
Juan Aldama,Durango,23.961095,-104.440159,95,45.0,50.0
Las Mesas del Bajío,Durango,22.819067,-104.340282,74,38.0,36.0
Rincón de Temascales,Durango,24.959628,-106.259691,2,,
El Nayar,Durango,23.961403,-104.698092,4161,2066.0,2095.0
Juan Antonio Domínguez (La Morena),Durango,24.363094,-104.516967,48,22.0,26.0
Acachuane,Durango,25.009096,-106.957892,92,43.0,49.0
Zopilotes,Durango,22.796233,-104.654049,4,,
Marqueseña,Durango,25.150404,-103.790144,4,,
San Pedro de Villa Corona,Durango,23.966023,-105.739945,74,38.0,36.0
La Chita,Durango,24.769344,-105.503611,4,,
Vallecillos,Durango,25.602906,-103.755291,6,,
La Esperanza,Durango,24.150534,-104.524083,4,,
Agua Verde,Durango,22.743006,-104.621308,137,75.0,62.0
Santa Bárbara,Durango,25.235844,-104.573115,629,342.0,287.0
La Esperanza (Palomas),Durango,25.848093,-103.605043,306,149.0,157.0
Rancho San Pablo,Durango,23.782633,-104.430425,1,,
El Carrizo [Anexo a Pueblo Nuevo],Durango,23.325216,-105.493834,27,15.0,12.0
Arroyo Hondo,Durango,22.89598,-104.765027,20,10.0,10.0
Estación Viñedo,Durango,25.661939,-103.411538,910,462.0,448.0
La Escondida,Durango,25.507496,-103.564491,1,,
Santa Sofía,Durango,25.70634,-103.44176,18,7.0,11.0
Héroes de México (La Angostura),Durango,25.169882,-104.53584,207,94.0,113.0
Los Sombreros,Durango,23.129969,-104.594173,10,4.0,6.0
Tierra Blanca [De Tierras Coloradas de Maíz Gordo],Durango,23.162045,-104.884279,63,30.0,33.0
Remigio Cuevas Galindo,Durango,25.643451,-103.547211,2,,
Guadalupito,Durango,24.637917,-102.626977,272,149.0,123.0
Pino Alto,Durango,25.105274,-106.545936,28,10.0,18.0
Jiménez (Jiménez Uno),Durango,25.831021,-103.357191,1430,707.0,723.0
El Torito,Durango,24.258912,-105.473343,4,,
El Ranchito,Durango,24.952765,-104.616307,36,21.0,15.0
Santa Rita de Casia,Durango,25.371091,-105.094155,70,42.0,28.0
La Junta,Durango,25.075543,-106.959399,17,10.0,7.0
Los Eucaliptos,Durango,25.693759,-103.448148,20,8.0,12.0
La Barranca,Durango,25.370434,-106.162617,24,15.0,9.0
Ramón Corona,Durango,24.186767,-103.629934,1686,851.0,835.0
El Corazón,Durango,25.330366,-105.824178,23,11.0,12.0
San Juan de las Estacas,Durango,25.125245,-105.928786,5,2.0,3.0
Nuevo José Guadalupe de la Rueda (La Rueda),Durango,26.424748,-105.462354,89,48.0,41.0
El Laurel,Durango,25.236253,-106.845204,68,37.0,31.0
Puerto el Platanar,Durango,22.704107,-104.536845,13,,
San Javier,Durango,25.044269,-106.730737,19,11.0,8.0
Familia Guadarrama L.,Durango,25.716604,-103.36936,2,,
Los Limones,Durango,24.955011,-106.898238,4,,
Los Cordones,Durango,23.141155,-104.577173,14,7.0,7.0
Cuesta Blanca,Durango,24.533115,-106.565319,12,8.0,4.0
La Rinconada,Durango,23.899359,-104.606156,8,,
Salsipuedes,Durango,25.041716,-106.502745,41,17.0,24.0
Rancho de Tío Juan,Durango,25.288273,-106.55772,181,87.0,94.0
Héctor Vela Valenzuela,Durango,23.922119,-104.931831,4,,
El Monte de la Cruz,Guanajuato,20.864804,-101.748256,17,8.0,9.0
La Esperanza,Guanajuato,20.602796,-100.919315,439,205.0,234.0
Mogotes de San José Parangueo,Guanajuato,20.415788,-101.30251,773,372.0,401.0
Puerta de Llave,Guanajuato,20.791822,-101.909208,582,290.0,292.0
La Presita de Arandas,Guanajuato,20.726704,-101.368347,65,31.0,34.0
San Isidro de las Colonias,Guanajuato,21.036483,-101.722246,954,486.0,468.0
El Arenal,Guanajuato,20.693008,-101.329015,89,41.0,48.0
Francisco Montoya Rodríguez,Guanajuato,20.455445,-100.753719,1,,
Los Carrillo,Guanajuato,21.152233,-100.979418,17,5.0,12.0
El Carmen de los Vargas,Guanajuato,21.124589,-100.634141,64,32.0,32.0
La Sardina,Guanajuato,20.881572,-101.663444,1363,677.0,686.0
Jaguar,Guanajuato,21.027197,-100.809246,5,,
San Ignacio,Guanajuato,20.779512,-101.78117,65,26.0,39.0
La Cantera,Guanajuato,20.405005,-101.438145,234,115.0,119.0
Casa Blanca,Guanajuato,21.335,-101.63,8,,
Planta Trituradora Agregados Petreos,Guanajuato,21.049955,-100.510214,4,,
Martín Andrade Palma,Guanajuato,20.384577,-101.381988,6,,
Medranos,Guanajuato,20.882208,-101.437193,1776,899.0,877.0
Cerrito Blanco,Guanajuato,20.715097,-101.04315,2,,
Zavala,Guanajuato,20.551236,-101.144629,11,4.0,7.0
Puerto del Mezquite,Guanajuato,21.055455,-100.138015,21,10.0,11.0
Pastita,Guanajuato,20.656033,-101.790874,28,14.0,14.0
El Tepozán,Guanajuato,21.375324,-100.959838,9,4.0,5.0
La Redonda,Guanajuato,21.401453,-100.309417,12,8.0,4.0
Lomas de San José [Fraccionamiento],Guanajuato,21.185833,-100.946667,66,31.0,35.0
Misión de Arnedo,Guanajuato,21.230566,-100.252038,1074,522.0,552.0
San Antonio Gallardo,Guanajuato,20.627475,-100.767848,4059,1999.0,2060.0
El Palenque,Guanajuato,21.193889,-101.752222,13,,
Las Tablas Nuevas (La Oreja),Guanajuato,20.763543,-101.661799,356,183.0,173.0
La Yerbabuena,Guanajuato,21.033201,-100.351555,619,301.0,318.0
La Barranca del Chilar,Guanajuato,20.527585,-101.900948,181,84.0,97.0
El Santuario,Guanajuato,20.543267,-100.760968,3,,
Ignacio Rodríguez Porras,Guanajuato,20.858369,-101.515721,7,,
El Mezquital,Guanajuato,21.473411,-100.781086,244,114.0,130.0
La Minita,Guanajuato,21.030325,-100.630569,160,86.0,74.0
San José de Gómez,Guanajuato,20.497029,-101.503589,101,57.0,44.0
Agua Zarca,Guanajuato,21.134129,-101.025863,58,27.0,31.0
San Diego de Tierrablanca (Rancho de Teresa),Guanajuato,21.143994,-100.946422,4,,
Granja los Negrete,Guanajuato,20.513186,-101.136229,7,,
Granja Uno,Guanajuato,20.540065,-100.738306,4,,
Colonia del Cerro,Guanajuato,20.228766,-101.886373,60,28.0,32.0
Ojo de Agua,Guanajuato,21.706389,-101.009722,10,4.0,6.0
Las Adjuntas,Guanajuato,21.041558,-100.182277,296,130.0,166.0
La Presa de Santa Inés,Guanajuato,19.986891,-100.60067,231,124.0,107.0
Rincón de Ibarrilla,Guanajuato,21.184219,-101.639008,134,69.0,65.0
Rancho de Jesús,Guanajuato,21.075052,-100.917967,24,13.0,11.0
El Monte,Guanajuato,20.630677,-101.526579,10,,
Piedra Larga,Guanajuato,20.259954,-100.335081,662,319.0,343.0
El Frijolar,Guanajuato,21.024374,-100.897157,34,18.0,16.0
Villamalí,Guanajuato,20.461516,-100.821218,3,,
Piedras de Lumbre,Guanajuato,21.311477,-100.673854,71,37.0,34.0
Pozo de Cándido Banda,Guanajuato,20.621902,-100.9873,2,,
Quinta María de Ornelas,Guanajuato,21.075663,-101.732024,24,9.0,15.0
El Zapote (La Nopalera),Guanajuato,20.729601,-101.064962,2,,
Martha Lira,Guanajuato,21.010896,-101.60371,2,,
Colunga,Guanajuato,20.594508,-100.496571,15,6.0,9.0
Los Razo,Guanajuato,20.590152,-101.049051,1,,
El Romeral,Guanajuato,20.581981,-101.460874,737,340.0,397.0
El Potrerito (Las Casas de Emiliano),Guanajuato,20.483688,-100.64142,37,17.0,20.0
Predio la Aldeíta,Guanajuato,20.896196,-101.485776,3,,
El Tropezón,Guanajuato,20.993771,-101.303321,25,12.0,13.0
La Chilera,Guanajuato,20.77286,-101.266551,18,7.0,11.0
León de los Aldama,Guanajuato,21.121972,-101.6832,1579803,775591.0,804212.0
El Verde,Guanajuato,21.325771,-100.71551,30,16.0,14.0
El Monte,Guanajuato,20.564605,-101.139579,229,124.0,105.0
Ranchito de los Hernández,Guanajuato,21.325968,-101.031357,140,70.0,70.0
Chicamito,Guanajuato,20.317398,-101.214543,257,123.0,134.0
El Oasis,Guanajuato,21.203428,-100.963963,2,,
Xacalázuchitl,Guanajuato,21.191775,-100.210543,141,64.0,77.0
Cinco Llagas,Guanajuato,21.20735,-100.751397,199,92.0,107.0
Granja las Charritas,Guanajuato,20.803003,-101.519393,5,,
Las Saudas,Guanajuato,20.889112,-101.954481,13,,
Granja de Adolfo,Guanajuato,20.590201,-101.365027,37,22.0,15.0
Pozo Blanco,Guanajuato,21.278868,-100.649727,626,292.0,334.0
La Lomita,Guanajuato,20.682861,-101.116524,194,91.0,103.0
Lista Blanca,Guanajuato,21.074778,-101.309769,8,,
Don Blas (San José de Gómez),Guanajuato,20.49872,-101.494456,7,,
Entronque a Xacalázuchitl,Guanajuato,21.198097,-100.204764,24,11.0,13.0
Cofradía de Guerra,Guanajuato,20.652294,-101.527799,532,242.0,290.0
El Gorrión (Martín Martínez García),Guanajuato,21.009024,-101.757753,6,,
San Marcos,Guanajuato,20.937345,-101.347019,744,371.0,373.0
La Lagartija,Guanajuato,20.472931,-101.772597,9,,
El Carmen,Guanajuato,21.240671,-100.318834,842,398.0,444.0
San José de las Moras,Guanajuato,20.388662,-101.888968,446,208.0,238.0
Los Fresnos,Guanajuato,20.05258,-100.795234,157,64.0,93.0
La Palma,Guanajuato,20.651247,-101.390836,2,,
Pozo de Pablo Mendoza,Guanajuato,20.60289,-100.939757,7,,
La Mojonera,Guanajuato,20.974555,-100.643489,2,,
La Concepción (Quinta Fracción),Guanajuato,20.626186,-100.799539,11,,
Crecensio Rocha Ruiz (Callejones),Guanajuato,20.44454,-101.033407,5,,
Sauz Blanco,Guanajuato,21.127718,-100.102025,3,,
Ninguno [Trinidad Pérez],Guanajuato,20.618976,-100.784298,7,3.0,4.0
El Tule,Guanajuato,20.526959,-101.598004,1002,466.0,536.0
San Francisco Parácuaro,Guanajuato,20.141727,-100.758219,529,246.0,283.0
El Vergel y Anexos,Guanajuato,21.35778,-101.152105,197,88.0,109.0
Nacimiento,Guanajuato,21.118448,-100.613894,68,35.0,33.0
Pelayos,Guanajuato,20.978834,-101.605715,6,,
Tanque Colorado,Guanajuato,21.672267,-101.357324,22,11.0,11.0
Don Roberto [Rancho],Guanajuato,20.499197,-100.744114,2,,
Canah [Fraccionamiento],Guanajuato,21.206939,-101.767533,17,8.0,9.0
El Colorín,Guerrero,17.819618,-101.316738,1,,
Los Naranjos (El Amatito del Naranjo),Guerrero,17.824993,-100.115762,2,,
Las Juntas del Real (Las Juntas),Guerrero,18.800429,-100.678271,30,16.0,14.0
El Mariscal,Guerrero,18.056079,-101.121195,5,,
Puerto Castro,Guerrero,17.776625,-100.118894,109,55.0,54.0
La Fundición,Guerrero,18.380053,-101.738771,12,8.0,4.0
Los Ciruelos,Guerrero,17.929851,-100.758841,66,33.0,33.0
La Florida,Guerrero,17.877639,-101.020562,3,,
Los Zapotes,Guerrero,17.767108,-101.220916,39,19.0,20.0
Los Naranjos,Guerrero,17.207547,-100.190172,2,,
El Balcón de la Bandera,Guerrero,17.837748,-101.205228,38,10.0,28.0
Huizila,Guerrero,18.112988,-101.833339,81,35.0,46.0
El Tamarindo del Río,Guerrero,18.348755,-100.311546,119,60.0,59.0
Oxtotitlán (Totitlán),Guerrero,18.616152,-100.628521,136,69.0,67.0
El Plátano,Guerrero,18.055402,-102.039991,27,16.0,11.0
El Coyol,Guerrero,18.621168,-100.527522,36,18.0,18.0
El Cundancito,Guerrero,18.021197,-101.135646,213,101.0,112.0
El Zapote,Guerrero,17.671389,-101.425556,3,,
Los Mangos,Guerrero,18.135721,-101.002082,24,13.0,11.0
El Aguacate,Guerrero,17.706397,-100.858878,7,,
